7.027936625129080905e-01 5.440090727091942968e-01 8.467057241455058225e-01 8.011578514823219921e-01 1.838809365300213550e-01 5.857861563340379663e-01
2.746885066097920491e-01 7.545025470326308659e-01 3.805156353609792652e-01 4.768313293800772179e-01 6.180765604067298691e-01 6.550286732430390391e-01
9.267651165735553143e-01 6.053386466251510223e-01 6.566364149200366596e-01 9.724981243091794791e-01 9.946022151511714204e-01 8.781850559878179308e-02
2.069339874050866446e-01 1.520992084319548743e-01 4.932645282416031063e-01 3.260016192647498534e-01 9.889134740309024618e-01 8.275197612440405859e-01
8.752378018866127096e-01 5.128989201978106927e-01 7.215607317694950895e-01 7.812310011512028085e-01 2.173303638608579669e-01 8.216247223955397416e-02
6.027410473892838016e-01 7.113122077643101449e-01 1.399108753709118191e-01 6.242192893527667152e-01 7.106935728655296991e-01 3.880939126045742649e-01
3.034509645821782953e-01 4.156296295607059266e-01 2.772960882420059670e-01 8.157745199394658142e-01 1.034089272203749937e-01 5.573888726770529489e-01
8.096611459640514763e-01 4.466423948873255445e-01 5.598792166315046392e-01 1.584168098220077869e-01 1.068179534378363993e-01 2.540500447563542319e-01
8.009040107407858766e-01 7.081803903838963521e-01 3.475236474960669009e-01 7.997935285103214831e-01 6.934620484360634052e-01 1.384676744461582620e-01
1.081079333597487618e-01 2.446237869221952466e-01 1.764628085064671170e-01 9.620719186923198940e-01 5.281435358302919436e-01 7.012176450469155276e-01
3.986499812158365019e-01 9.537594835402877225e-01 3.931514238952211748e-01 1.002223352145140911e+00 7.275976937825493485e-01 8.060104424106478982e-01
9.896777808394732201e-01 7.963989845891688013e-01 8.793635738197611573e-01 1.021131711203083769e+00 7.472413038597225388e-01 4.687512431605104224e-01
7.137732930990846603e-01 3.827748038261121200e-01 2.939417869907230418e-01 5.655344009243048475e-01 6.186666068788371220e-01 4.912204330532422558e-01
1.532038589281198848e-01 4.966536724546832815e-01 1.370628563729659466e-01 6.546435194344905062e-01 1.540507440549127027e-01 5.144861177854247458e-01
6.148264800614531289e-01 6.501570115541486228e-01 5.807503733019305781e-01 6.020484739318120448e-01 1.273508279673574717e-01 1.121979352357295179e-01
8.023230180204973250e-01 7.491896415811283294e-01 5.186673896622915475e-02 9.361647444504822557e-02 1.719145906106386845e-01 1.625474898796008816e-02
1.009367940172690020e-01 8.757244263950160201e-01 6.062364891866108829e-01 6.843557315553827625e-01 2.481164594598595508e-01 5.365409229348094833e-01
